playerid,Name,z_runs,z_hr,z_rbi,z_sb,z_k,z_avg,z_ops,final_z_sum
14854,Mike Yastrzemski,0.21457725085211518,0.03273916564480401,-0.1309001919087185,-0.42126081022823825,0.44980815567240434,-0.7309132309125209,0.14945055907377328,-1.3361154131511896
14894,Tony Kemp,-0.8162467382725297,-1.3570190943495792,-1.321694144367258,0.2371324585619116,-1.5272092677672364,-0.8229155424367478,-1.4349963605302998,-3.988530153627267
15112,Ryan McMahon,-0.5129256438947795,-0.004701077508649085,-0.03813538662578741,-0.4482713029920975,1.0394128222660814,-0.6934756886804576,-0.3950875311635615,-3.132009453131414
15117,Hunter Dozier,-0.9192427079441464,-0.6860987159635428,-1.4963341313553435,-0.08854636887159671,0.44971730228862195,-1.3903625256970344,-0.9755010412926532,-6.005802793412939
15149,Trey Mancini,-0.6824482336453825,-0.21338316716616745,-0.3745285152288501,-0.9885697338102917,0.5468249614656968,-0.5296015397594687,-0.5393641326790813,-3.8747202837549386
15172,Tim Anderson,1.355239859692985,-0.1719061093471737,-0.8304568913670383,0.7726305851182439,-0.020126557900277196,1.6765829631479612,0.46697663998074673,3.2891936051260027
15223,Adam Frazier,-0.6163768867159485,-1.31927545835389,-1.2892465468179144,-0.05914725544925692,-1.3382522905519267,0.008363148114367855,-1.0693730640847001,-3.0068037727554144
15362,Jeff McNeil,-0.8240089084960258,-1.150606019826305,-0.5748101108405728,-0.6947262983843108,-1.7306513840435749,1.863283098053905,0.6341998924450968,0.9839830369953625
15429,Kris Bryant,0.3125607594775746,0.16942439074339904,-0.19708419914811462,0.15277624700741385,0.35438635472455776,0.012107683097902958,0.4654695828079999,0.5608681092616179
15464,Hunter Renfroe,-0.12849665911838684,0.8331933027767154,0.4798193941260421,-0.8758840934620185,0.13251238634625445,-0.1688136455755189,0.3934164871982826,0.4007223995988614
15487,Victor Reyes,-0.09465735302727543,-1.1517370420859077,-1.6285844663603652,1.2938586669792524,-0.24587965371902143,0.4249408691552601,-0.8049184239069715,-1.7152180955269856
15491,J.P. Crawford,-0.08507803095847961,-1.4774566774829359,-1.0697800935213682,-0.17964699941212078,-0.713553646561102,-0.12611014677127855,-1.0379509738360033,-3.2624692754210836
15518,Amed Rosario,0.22604556751411153,-1.0524155403261735,-0.5194510024712552,0.7596820062783687,-0.1744164734250675,0.7744118363533492,-0.6733963286467483,-0.3107069878732799
15640,Aaron Judge,2.0216053369590825,2.926096264267427,2.038742325919401,0.2542209394015633,1.3898446865407739,1.3668098177868915,2.8201989758461177,10.037828973639707
