playerid,#,Season,Name,Team,z_w,z_era,z_saves,z_hr,z_k,z_whip,z_hold,z_pit_avg
13050,13,2021,Anthony DeSclafani,SFG,0.3446751846169934,-0.5652369593796828,NA,-0.4762252103032577,-0.7780996816991708,-0.4806741272810009,-0.16012815380508713,1.088711799881764
12970,14,2021,Joe Musgrove,SDP,-0.3819373667377493,-0.5530173133620507,NA,0,0.46899158896936327,-0.5478651343202806,-0.16012815380508713,1.1879366699139453
18684,15,2021,Sandy Alcantara,MIA,-1.108549918092492,-0.5407976673444193,NA,-0.15874173676775255,0.4200860489431463,-0.6150561413595604,-0.16012815380508713,0.6261316763223865
13125,16,2021,Gerrit Cole,NYY,1.4345940116491076,-0.49191908327389233,NA,0.3174834735355051,1.4471023894937036,-0.6822471483988402,-0.16012815380508713,3.7383791592800386
4676,17,2021,Charlie Morton,ATL,0.7079814602943648,-0.35750297707994355,NA,-0.9524504206065154,0.786877599139774,-0.8166291624773997,-0.16012815380508713,3.6214416195979973
8779,18,2021,Wade Miley,CIN,-0.01863109106037795,-0.32084403902704806,NA,-0.7937086838387628,-1.4383244720531005,1.1319100416617116,-0.16012815380508713,-1.4743128819093791
14309,19,2021,Frankie Montas,OAK,0.3446751846169934,-0.32084403902704806,NA,-0.3174834735355051,0.5668026690217973,0.12404493607251531,-0.16012815380508713,1.4257604301288287
14168,20,2021,Jose Berrios,- - -,-0.01863109106037795,-0.13754934876257233,NA,0,0.4934443589824718,-0.6822471483988402,-0.16012815380508713,1.2946097650835062
15474,21,2021,Lucas Giolito,CHW,-0.3819373667377493,-0.12532970274494085,NA,0.7937086838387628,0.4200860489431463,-0.4134831202417212,-0.16012815380508713,-0.2167471786467038
13896,22,2021,Chris Flexen,SEA,0.7079814602943648,-0.027572534603886978,NA,-0.4762252103032577,-1.4383244720531005,0.5943819853474736,-0.16012815380508713,-0.8209272521990646
10123,23,2021,Kyle Gibson,- - -,-0.7452436424151206,0.09462392557243036,NA,-0.7937086838387628,-0.7047413716598452,0.3928089642296343,-0.16012815380508713,-1.1437092200382675
16358,24,2021,Tyler Mahle,CIN,0.3446751846169934,0.1435025096429573,NA,0.3174834735355051,0.6401609790611229,0.459999971268914,-0.16012815380508713,0.06385020923073992
9132,25,2021,Nathan Eovaldi,BOS,-0.3819373667377493,0.1435025096429573,NA,-1.111192157374268,0.2733694288644952,0.19123594311179506,-0.16012815380508713,0.6678857667462615
18525,26,2021,Dylan Cease,CHW,0.3446751846169934,0.33901684592506504,NA,-0.3174834735355051,1.0314052992708591,0.5943819853474736,-0.16012815380508713,0.760165126150819
15873,27,2021,Sean Manaea,OAK,-0.3819373667377493,0.33901684592506504,NA,0.4762252103032577,0.2489166588513867,0.459999971268914,-0.16012815380508713,-1.4082627353835995
15689,28,2021,Luis Castillo,CIN,-1.4718561937698633,0.4245543680484869,NA,-0.4762252103032577,0.20001111882516967,1.3334830627795506,-0.16012815380508713,-2.5536572954694736
1943,29,2021,Zack Greinke,HOU,-0.3819373667377493,0.6445079963658581,NA,1.2699338941420204,-1.560588322118643,0.05685392903323556,6.084869844593311,-3.9138215083975063
13074,30,2021,Yu Darvish,SDP,-1.4718561937698633,0.717825872471648,NA,0.9524504206065154,0.3711805089169293,-0.4806741272810009,-0.16012815380508713,-2.2902778506500963
19244,31,2021,Cole Irvin,OAK,-0.7452436424151206,0.742265164506912,NA,0.15874173676775255,-1.4383244720531005,1.1319100416617116,-0.16012815380508713,-4.216485057404598
14444,32,2021,Hyun-Jin Ryu,TOR,0.7079814602943648,0.9011205627361243,NA,0.3174834735355051,-0.9981746118171473,0.3928089642296343,-0.16012815380508713,-1.9016061520240464
15038,33,2021,German Marquez,COL,-0.01863109106037795,0.9377795007890197,NA,-0.15874173676775255,-0.19123320138456648,0.728763999426033,-0.16012815380508713,-1.7176660558922445
12880,34,2021,Tyler Anderson,- - -,-1.8351624694472348,1.096634899018232,NA,0.7937086838387628,-1.2182495419351238,0.5943819853474736,-0.16012815380508713,-5.538137579586826
16149,35,2021,Aaron Nola,PHI,-1.108549918092492,1.2188313591945488,NA,0.6349669470710102,0.9580469892315335,-0.21191009912388342,-0.16012815380508713,-1.7923911360026339
12049,36,2021,Kyle Hendricks,CHC,0.7079814602943648,1.3899064034413926,NA,1.428675630909773,-1.2916078519744494,1.266292055740271,-0.16012815380508713,-4.668500481771521
7593,37,2021,Jordan Lyles,TEX,-0.7452436424151206,1.854252952111399,NA,2.539867788284041,-0.9248163017778218,1.5350560838973886,-0.16012815380508713,-7.599236768485771
9434,38,2021,Dallas Keuchel,CHW,-1.108549918092492,2.013108350340611,NA,0.4762252103032577,-2.1719075724463557,2.475730182447305,-0.16012815380508713,-8.245521233630022
9323,39,2021,Patrick Corbin,WSN,-1.108549918092492,2.6729692352927246,NA,2.381126051516288,-0.9981746118171473,2.0725841402116263,-0.16012815380508713,-9.233403956930278
8700,1,2022,Justin Verlander,HOU,1.8857617985778614,-1.912850181247758,NA,-1.3172325338814697,0.2712359814790506,-2.0088047956849255,NA,7.395885290871065
14765,2,2022,Julio Urias,LAD,1.5365466506930723,-1.419599505580097,NA,0.42616346684400513,-0.2744269930258622,-1.140894304196239,NA,3.3964500005995406
18525,3,2022,Dylan Cease,CHW,0.4889012070387049,-1.3714774884417884,NA,-0.6832703517994788,1.477438346174121,-0.13945912170929217,NA,4.160546515163385
26410,4,2022,Alek Manoah,TOR,1.1873315028082831,-1.32335547130348,NA,-0.6832703517994788,0.1276404618724946,-0.9406072676988496,NA,4.262205055482586
18684,5,2022,Sandy Alcantara,MIA,0.4889012070387049,-1.2752334541651722,NA,-0.6832703517994788,0.9030562677478969,-1.0073696131979795,NA,4.357830893949232
19755,6,2022,Shohei Ohtani,LAA,0.838116354923494,-1.2150809327422865,NA,-1.0002514428404743,1.2476855148036314,-0.80708257670059,NA,5.108216822010476
13743,7,2022,Max Fried,ATL,0.4889012070387049,-1.0346233684736301,NA,-1.3172325338814697,-0.15955057734061742,-0.80708257670059,NA,3.4882891087537775
21483,8,2022,Shane McClanahan,TBR,-0.20952908873087334,-0.9624403427661674,NA,-0.2077987152379857,0.5297079167708514,-1.3411813406936275,NA,2.8315992267377585
19291,9,2022,Zac Gallen,ARI,-0.20952908873087334,-0.9624403427661674,NA,-0.8417608973199766,0.47226970892822895,-1.4747060316918872,NA,3.5416478919753867
12880,10,2022,Tyler Anderson,LAD,0.838116354923494,-0.9263488299124364,NA,-1.0002514428404743,-1.0785619028225757,-0.8738449221997198,NA,2.559999647053549
17295,11,2022,Framber Valdez,HOU,1.5365466506930723,-0.625586222798009,NA,-1.4757230794019673,0.5297079167708514,0.19435260578635527,NA,3.973211263877545
19427,12,2022,Shane Bieber,CLE,0.13968605915391577,-0.5534031970905463,NA,-0.36628926075848345,0.6445843324560961,-0.6067955402032007,NA,2.3107583896622423
16137,13,2022,Carlos Rodon,SFG,0.4889012070387049,-0.5534031970905463,NA,-1.3172325338814697,1.764629385387233,-0.6735578857023304,NA,4.797724209100284
6902,14,2022,Martin Perez,TEX,-0.20952908873087334,-0.541372692805969,NA,-1.4757230794019673,-0.1882696812619286,0.8619760607776531,NA,0.7573209414374812
17995,15,2022,Logan Webb,SFG,0.838116354923494,-0.5293421885213921,NA,-1.4757230794019673,-0.3605843047897958,0.19435260578635527,NA,2.288244712270702
11423,16,2022,Jose Quintana,- - -,-2.304819976039608,-0.49325067566766057,NA,-1.9511947159634606,-1.107281006743887,0.5281643332820042,NA,-1.4958199244343775
12970,17,2022,Joe Musgrove,SDP,-0.9079593845004515,-0.49325067566766057,NA,0.26767292132350745,0.24251687755773937,-0.3397461582066815,NA,-0.10011859439187754
19361,18,2022,Corbin Burnes,MIL,-0.20952908873087334,-0.4812201713830837,NA,0.42616346684400513,1.9369440089151002,-1.0741319586971092,NA,2.856603583420415
18000,19,2022,Triston McKenzie,CLE,-0.5587442366156624,-0.4571591628139295,NA,0.7431445578850006,0.41483150108560657,-1.2076566496953687,NA,0.7777585190942418
